;
Alkalisierung;Vorgang der Erhöhung des pH-Werts, damit das Milieu alkalischer wird. Bei der Diflunisal-Therapie werden Krebszellen gezielt und selektiv durch pH-sensitive Substanzen angegriffen.
AMT;Modifizierte Kamillenextrakt-Therapie. Dabei wird täglich eine Kombination aus neun pflanzlichen und synthetischen Komponenten mit antitumoraler Wirkung intramuskulär verabreicht. Die genaue Wirkweise ist noch unbekannt, vermutet wird ein immunogener Effekt. Die AMT ist dazu geeignet, die Lebensqualität der Patienten zu verbessern. Im Rahmen von Heilversuchen werden Schmerzreduktion, eine Zunahme von Appetit und Gewicht sowie eine Erhöhung der Leistungsfähigkeit erreicht. In Einzelfällen kann eine antitumorale Wirkung erzielt werden.
Anämie;bedeutet eine Verminderung der Erythrozyten.
Angststörung;Hierunter versteht man allgemein eine unkontrollierbare, den Alltag massiv störende Ängstlichkeit. Diese kann sich auf konkrete Gefahren beziehen, wie sie etwa eine akute Krebserkrankung darstellen kann. Es können aber auch Ängste vor Dingen auftreten, die andere Menschen eher nicht als belastend ansehen.
Antihormontherapie;Körpereigene Hormone werden ausgeschaltet, damit der hormonell bedingte Wachstumsreiz ausgeschaltet wird. Dadurch wird die Ausbreitung eines Tumors und möglicher Metastasen verlangsamt bzw. gehemmt.
Artemisinin;Sekundärer Pflanzenstoff, der in den Blättern und Blüten des Einjährigen Beifußes (Artemisia annua) vorkommt. Artemisinin besitzt eine Peroxidstruktur. Bei hoher Konzentrationen an Eisenionen - wie es beispielsweise bei Tumorerkrankungen der Fall ist - wird dieses Peroxid instabil und zerfällt in freie Radikale, die Krebszellen zerstören können.
Auron Misheil Therapy;Modifizierte Kamillenextrakt-Therapie. Dabei wird täglich eine Kombination aus neun pflanzlichen und synthetischen Komponenten mit antitumoraler Wirkung intramuskulär verabreicht. Die genaue Wirkweise ist noch unbekannt, vermutet wird ein immunogener Effekt. Die AMT ist dazu geeignet, die Lebensqualität der Patienten zu verbessern. Im Rahmen von Heilversuchen werden Schmerzreduktion, eine Zunahme von Appetit und Gewicht sowie eine Erhöhung der Leistungsfähigkeit erreicht. In Einzelfällen kann eine antitumorale Wirkung erzielt werden.
Angiogenesefaktoren;Stoffe, die vom Tumor ausgeschüttet werden, um Blutgefäße anzulocken, die ihn dann ernähren. Daraus kann die Sinnhaftigkeit einer antiangiogenen (blutgefäßhemmenden) Therapie abgeleitet werden.
Bestrahlung;siehe Radiotherapie.
Bildgebende Diagnostik;Oberbegriff, unter dem verschiedene apparative Untersuchungsmethoden zusammengefasst werden. Diese Apparaturen liefern zwei- oder dreidimensionale Bilddaten und werden zur Diagnose von krankheitsbedingten Veränderungen der Strukturen des menschlichen Körpers eingesetzt.
Chemotherapie;Behandlung bösartiger Tumore mit speziellen chemischen Substanzen (Zytostatika). Diese Substanzen hemmen das Wachstum und die Vermehrung der Krebszellen und können bei verschiedensten Krebsarten wie Brust-, Darm- oder Lungenkrebs eingesetzt werden. Besonders sinnvoll ist eine solche Behandlung bei Krebsarten wie Lymphdrüsenkrebs oder Leukämie, bei denen sich die Krebszellen im ganzen Körper ausbreiten. Eine Chemotherapie kann erheblichen Einfluss auf die körperliche Verfassung der Patienten haben und ihre Lebensqualität durch Nebenwirkungen wie Übelkeit oder Haarausfall beeinträchtigen.
CT;Computergestütztes Verfahren der bildgebenden Diagnostik. Mittels einer Röntgenröhre wird ein Fächerstrahl erzeugt, der durch die Strukturen des untersuchten Körperteils unterschiedlich stark abgeschwächt wird. Durch dieses Vorgehen bietet das CT im Vergleich mit einfachen Röntgenbildern eine höhere Kontrastauflösung. Die aufgenommene Datenmenge wird durch einen Computer zu zwei- oder dreidimensionalen Schnittbildern verarbeitet.
Computertomographie;Computergestütztes Verfahren der bildgebenden Diagnostik. Mittels einer Röntgenröhre wird ein Fächerstrahl erzeugt, der durch die Strukturen des untersuchten Körperteils unterschiedlich stark abgeschwächt wird. Durch dieses Vorgehen bietet das CT im Vergleich mit einfachen Röntgenbildern eine höhere Kontrastauflösung. Die aufgenommene Datenmenge wird durch einen Computer zu zwei- oder dreidimensionalen Schnittbildern verarbeitet.
Diagnose;Begriff von griechisch diágnosis = Unterscheidung, Entscheidung. Beschreibt die Feststellung/Bestimmung einer körperlichen oder psychischen Krankheit (durch einen Arzt).
Delfintherapie;Arbeit mit Therapeuten, Patienten und Delfinen im Wasser. Es liegen wissenschaftliche Erkenntnisse zur positiven Auswirkung von der Arbeit mit Delfinen auf Autismus, Zerebralparesen, Down Syndrom, psychologische Erkrankungen wie Depressionen und posttraumatischen Belastungsstörungen vor.
Diflunisal-Therapie;Neuartiger Therapieansatz zur Bekämpfung von Tumoren und Metastasen. Basierend auf der Erkenntnis, dass Krebszellen ein extra-zellulär saures Milieu aufweisen, werden diese gezielt durch pH-sensitive Substanzen (Salizylsäure-Derivat) angegriffen. Bei dieser Therapieform sind die möglichen Nebenwirkungen einer Chemotherapie nicht zu erwarten.
EKG;Standarduntersuchung der Kardiologie. Durch die elektrische Stromkurvenaufzeichnung des Herzens lassen sich vorangegangene Herzinfarkte, Herzrhythmusstörungen oder Mangeldurchblutung diagnostizieren.
Elektrokardiogramm;Standarduntersuchung der Kardiologie. Durch die elektrische Stromkurvenaufzeichnung des Herzens lassen sich vorangegangene Herzinfarkte, Herzrhythmusstörungen oder Mangeldurchblutung diagnostizieren.
Endoskopie;Medizinische Untersuchung, mit der ohne großen chirurgischen Eingriff Körperhöhlen untersucht, Krankheiten erkannt und behandelt werden können. Das dabei eingesetzte Endoskop mit Beleuchtungseinrichtung und Kamera wird unter lokaler Betäubung in den Körper des Patienten eingeführt. Endoskopische Eingriffe sind in der Regel mit einer geringeren körperlichen Belastung und kürzeren Regenerationszeiten für den Patienten verbunden.
Erythrozyten;Rote Blutkörperchen. Transportieren Sauerstoff durch den ganzen Körper. Ist die Zahl dieser Zellen vermindert, fühlt man sich müde, schwach und ist körperlichen Anstrengungen nicht mehr so gut gewachsen. Bei einer Verminderung der roten Blutkörperchen spricht man von einer Anämie.
Fatigue-Syndrom;Erschöpfungs-Syndrom oder kurz Fatigue (franz. für Müdigkeit) bezeichnet eine Erschöpfungssymptomatik im Zusammenhang mit Krebs oder chronischen Erkrankungen. Merkmale sind der Verlust körperlicher Belastbarkeit, Schwäche, Schlafstörungen, seelische Erschöpfung, die Angst nicht wieder gesund zu werden, Konzentrationsstörungen und die Entfremdung von Freunden und Familie.
Früherkennung;Ein Tumor an sich tut nicht weh und man fühlt sich nicht krank, da aufgrund des „TÜV-Siegel“ unser Immunsystem nicht reagiert. Und in der Regel vergrößern sich die Heilungschancen, je früher man den Tumor diagnostiziert. Früherkennungsuntersuchungen stehen zur Verfügung bei Brustkrebs, Darmkrebs, Gebärmutterhalskrebs, Hautkrebs, Kehlkopfkrebs, Prostatakrebs.
Funktionsdiagnose;Gehört zu den Eingangsuntersuchungen bei UNIFONTIS. Mit Hilfe von Ultraschall,  EKG und Endoskopie werden im Vorfeld der Erstellung eines individuellen Behandlungsplans (integrative Onkologie) die körpereigene Funktionsfähigkeit und der jeweilige Status der Krankheit bestimmt.
GZT;Das GesundheitsZentrum Tübingen ist ein im Jahr 2012 eröffneter hochmoderner Gebäudekomplex in der Universitätsstadt Tübingen. Im neungeschossigen Objekt dreht sich alles rund um das Thema Gesundheit. Es beherbergt das Zentrum für ambulante Rehabilitation (ZAR), das Universitätsklinikum Zentrum für Physiotherapie (UZP), eine Abteilung für Sportmedizin und Sportorthopädie sowie für Psychomatische Medizin und Psychotherapie, eine Tagesklinik, ein Gästehaus mit Restaurant und einige Fachgeschäfte. UNIFONTIS ist auf Ebene 9 des GesundheitsZentrums Tübingen angesiedelt.
GesundheitsZentrum Tübingen;Das GesundheitsZentrum Tübingen ist ein im Jahr 2012 eröffneter hochmoderner Gebäudekomplex in der Universitätsstadt Tübingen. Im neungeschossigen Objekt dreht sich alles rund um das Thema Gesundheit. Es beherbergt das Zentrum für ambulante Rehabilitation (ZAR), das Universitätsklinikum Zentrum für Physiotherapie (UZP), eine Abteilung für Sportmedizin und Sportorthopädie sowie für Psychomatische Medizin und Psychotherapie, eine Tagesklinik, ein Gästehaus mit Restaurant und einige Fachgeschäfte. UNIFONTIS ist auf Ebene 9 des GesundheitsZentrums Tübingen angesiedelt.
Hand-Fuß-Syndrom;Schmerzhafte Rötungen (Erytheme) und Schwellungen an Handflächen und Fußsohlen. Zusätzlich besteht häufig Taubheitsgefühl in den Händen, das von Kribbeln und/oder Sensibilitätsstörungen begleitet wird.
Hormone;Hormone sind Botenstoffe des Körpers, die wichtige Vorgänge im Körper auf Zellebene steuern (z.B. Blutzuckerspiegel, Fortpflanzung oder Wachstum). Sie werden in den Hormondrüsen (z.B. Bauchspeicheldrüse, Keimdrüse, Schilddrüse) gebildet. Diese Drüsen geben die Hormone in den Raum zwischen den Zellen ab, der von kleinsten Blutgefäßen, den Kapillaren durchzogen wird. Durch die Kapillarwände gelangen die Hormone in den Blutkreislauf und verteilen sich im Körper. Die Produktion der Hormone ist streng reguliert, nur eine genau festgelegte Hormonmenge darf im Blut vorhanden sein. Schon geringste Abweichungen des Hormonspiegels können gravierende Folgen für den Organismus haben.
Hyperthermie;Unter dem Begriff Hyperthermie (griech.: Überwärmung) ist eine Behandlungsmethode zu verstehen, bei der der Körper oder einzelne Körperteile durch den Einsatz von Ultraschall oder elektromagnetischer Wellen bewusst überhitzt werden. Durch diese Hitzetherapie sollen Krebszellen zerstört und Tumore für Chemotherapie oder Strahlentherapie anfälliger gemacht werden.
Integrative Onkologie;Teil der sogenannten ganzheitlichen Medizin. Bei der Behandlung von Krebs- und Tumorerkrankungen kombiniert die integrative Onkologie verschiedene Verfahren der Schulmedizin, der Psychotherapie und der Naturheilkunde. Im Sinne einer individuellen Behandlung der Patienten wird aus einer Vielzahl an Therapieformen ein auf die persönliche Situation des Patienten angepasster Behandlungsplan zusammengestellt.
Jakobsweg;Einer der bekanntesten Pilgerwege der Welt. Seit über 1.000 Jahren wandern Pilger zum Grab des Apostels Jakobus in der spanischen Stadt Santiago de Compostela. Der Jakobsweg verläuft dabei größtenteils über den in der ersten Hälfte des 11. Jahrhunderts entstandenen Camino Francés, die hochmittelalterliche Hauptverkehrsachse Nordspaniens, die von den Pyrenäen bis an den Atlantik führt. Seit 1993 ist dieser Hauptweg Teil des UNESCO-Weltkulturerbes.
Kamillenextrakt-Therapie;siehe AMT
Kolloidales Silber;Verwendungsform von Silber, die die Eigenschaft besitzt, gegen Bakterien, Viren und Pilze wirksam zu sein. Es kann bis zu 650 verschiedene Krankheitserreger abtöten, so dass es als natürliches Antibiotikum eingesetzt wird.
Krebs;Bereits von Hippokrates um 300 v. Chr. verwendeter Begriff. Er beschrieb gewisse Knoten und Geschwüre, die von erweiterten Blutgefäßen umgeben waren und nicht heilen wollten als „Karkinos“ (Krebs). Heute spricht man von Krebs, wenn sich bestimmte Abschnitte der Erbsubstanz (Gene) verändern, diese Veränderungen nicht mehr repariert und die Erbinformationen dadurch „verfälscht“ werden.
Krebstherapieformen;Es gibt viele verschiedene Arten der Krebstherapie, die alle versuchen, den bösartigen Tumor zu entfernen oder zumindest das Wachstum und die Ausbreitung zu unterbinden. Einige Tumore können operativ entfernt werden. Manchmal werden vorher Medikamente (Chemotherapie) oder verschiedene Formen der Strahlentherapie (Radiotherapie) eingesetzt, um den Tumor vor der Operation zu verkleinern. Auch nach Operationen wird Chemo- und/oder Strahlentherapie eingesetzt, um übriggebliebene Zellen zu zerstören und so einem erneuten Wachstum des Krebses vorzubeugen. Wenn man den Tumor nicht operativ entfernen kann, kommen direkt Medikamente und/oder Strahlentherapie zum Einsatz.
Lektinol;Wirkstoff aus hochaufgereinigten Mistellektinen – dem Anteil der Mistel der eine eigene antitumorale Wirkung in der Petrischale aufweist. Lektinol wird bei der Mistel-Therapie eingesetzt, um andere Methoden der Krebsbehandlung komplementär zu unterstützen und etwaige Nebenwirkungen der Chemo- oder Strahlenbehandlung abzumildern. Die Wirkweise ist eine Immunmodulation.
Leukozyten;Weiße Blutkörperchen. Dienen der Bekämpfung von Infektionen.
Lokale Therapie;Hierzu gehören Operation und Strahlentherapie. Dies ist vor allem bei Krebsarten sinnvoll, die noch nicht gestreut haben.
Magnetresonanztomographie;Verfahren der bildgebenden Diagnostik, das ohne die Anwendung von Röntgenstrahlung eine detaillierte Darstellung der Gewebeschichten im Körperinneren sowie eine Beurteilung krankhafter Veränderungen ermöglicht.
MainTrac-Verfahren;In Jena entwickeltes Verfahren zur Quantifizierung der im Blut zirkulierenden, epithelialen Tumorzellen. Dies sind Zellen, die bösartige Tumore in die Blutbahn abgeben, die dann wiederum in anderen Organen Metastasen bilden können. Mit dem Main-Trac-Verfahren kann überprüft werden, ob die bei einer Chemotherapie eingesetzten Medikamente (Zytostatika ) auf die im Blut zirkulierenden Tumorzellen wirken. Durch das Absinken der Zahl der Tumorzellen im Blut im Vergleich zum Behandlungsbeginn wird ein Anschlagen der Therapie nachgewiesen. Damit wird eine Erfolgskontrolle der angewandten Therapie bereits während der Behandlung möglich. Mit dem MainTrac-Verfahren kann die Wirkung der während der Chemotherapie eingesetzten Medikamente auf die Tumorzellen bereits vor Therapiebeginn getestet werden. So kann eine individuell auf die Bedürfnisse des jeweiligen Patienten abgestimmte Auswahl des Medikaments gewährleistet werden.
Malignitätsgrad;Gibt Auskunft darüber, wie stark sich der Krebs von gesunden Zellen unterscheidet und wie schnell er vermutlich wachsen wird.
Mentale Stärkung;Durch therapeutische Unterstützung wird die Auflösung der Blockaden auf der energetischen Ebene sowie die Aktivierung der Selbstheilungskräfte bei den Patienten angeregt. Die Patienten lernen nach dem Motto „Hilfe zur Selbsthilfe“ Techniken, die ihnen im Alltag helfen, mit negativen Gefühlen und Gedanken umzugehen.
Metastasen;Absiedlung von Krebszellen aus dem Primärtumor, auch Tochtergeschwülste genannt
Mikronährstoffverfahren;Richtet sich an durch Chemotherapie und Strahlentherapie geschwächte Patienten, die an einem Mangel an wichtigen Vitaminen und Spurenelementen leiden. Nach genauer Untersuchung wird für jeden Patienten eine individuelle Kombination von Mikronährstoffen zusammengestellt. Dadurch wird die Widerstandskraft des Körpers gestärkt, wodurch sich Erholungsphasen nach einer Chemotherapie verkürzen können. Die gezielte Gabe von Mikronährstoffen kann nachweisbar die Nebenwirkungen von Chemo- und Strahlentherapie deutlich reduzieren.
Mistel-Therapie;Verfahren der komplementären Krebsmedizin. Kann zur Milderung der Nebenwirkungen bei aggressiven Therapien genutzt und zur Verbesserung des allgemeinen Wohlbefindens sowie zur Steigerung der der Verträglichkeit bei Chemotherapie und Strahlentherapien eingesetzt werden. Dabei kommen ausschließlich Präparate mit einem hohen Anteil an  Lektinol zum Einsatz.
Molke;Enthält als reines Naturprodukt wertvolle Vitamine, vor allem aus der B-Gruppe, sowie Mineralstoffe (z.B. Kalzium, Kalium, Jod). Mit ihren antibakteriellen und antiseptischen Eigenschaften, unterstützt Molke die Haut effektiv bei ihrer Selbstheilung.
MRT;Verfahren der bildgebenden Diagnostik, das ohne die Anwendung von Röntgenstrahlung eine detaillierte Darstellung der Gewebeschichten im Körperinneren sowie eine Beurteilung krankhafter Veränderungen ermöglicht.
MR/PET;Kombination aus PET und MRT. Durch dieses neuartige Verfahren wird nicht nur die Untersuchungszeit reduziert, sondern auch eine Reduzierung der Strahlung erreicht. Bösartige Tumorherde oder Metastasen können mit dieser Technologie frühzeitig entdeckt, eindeutiger charakterisiert und ihre Lage zu den Organen sicherer zugeordnet werden.
Nachsorgeuntersuchung;Untersuchungen, um Langzeitfolgen einer Erkrankung und ihrer Therapie früh zu erkennen und zu behandeln. Zudem unterstützen die Ärzte bei der Krankheitsbewältigung und vermitteln passende Ansprechpartner.
Neural-Therapie;Verfahren aus dem Bereich der Regulationstherapie. Durch die Injektion eines Lokalanästhetikums in Organe, Muskeln oder Nervenfasern lassen sich Störungen des vegetativen Nervensystems positiv beeinflussen.
Onkologie;Wissenschaftszweig der Medizin, der sich mit der Vorsorge, Diagnostik, Therapie und der Nachsorge von Krebserkrankungen befasst.
Oxidativer Stress;(von griech.-lat. Oxygenium für Sauerstoff) bezeichnet die Stoffwechsellage, in der zwischen Oxidantien und Antioxidantien ein ständiges Ungleichgewicht zugunsten der Oxidation besteht. Dem daraus resultierende Mangel an Vitaminen und Spurenelementen kann mit dem von UNIFONTIS angebotenen Mikronährstoffverfahren bekämpft begegnet werden.
Palliative Therapie;Zusätzlich zur Krebstherapie können die Betroffenen in allen Krankheitsstadien eine Therapie gegen Schmerzen und andere Symptome erhalten, sowie gegen die Nebenwirkungen der Behandlung und zur Linderung emotionaler Probleme. Diese wird als supportive Therapie oder palliative Behandlung bezeichnet.
Pathogenese;beschreibt die Entstehung einer physischen oder psychischen Erkrankung oder den Verlauf eines krankhaften Prozesses bis hin zur Erkrankung.
PET;Verfahren der bildgebenden Diagnostik, bei der sich Stoffwechselvorgänge im Körper dreidimensional darstellen lassen.
pH-Wert;Gibt an, wie sauer oder basisch eine wässrige Lösung ist. Die Höhe des pH-Wertes hängt von der Menge an Säuren und Basen im Körper ab und wird vor allem vom Verhältnis zwischen Kohlendioxid (CO2) und Bikarbonat (HCO3-) bestimmt.
Positronen-Emissions-Tomographie;Verfahren der bildgebenden Diagnostik, bei der sich Stoffwechselvorgänge im Körper dreidimensional darstellen lassen.
PET/CT;Kombination aus PET und CT. Durch dieses neuartige Verfahren können selbst kleinste Krebsherde entdeckt werden, da sich die Bildinformationen des PET zum Stoffwechsel und des CT zur Struktur optimal ergänzen. Aufgrund dieser Vorteile spielt das PET/CT eine große Rolle in der modernen Krebsfrüherkennung und Krebsdiagnostik.
Q10;Das körpereigene Co-Enzym weist strukturelle Ähnlichkeiten zu den Vitaminen E und K auf und ist wesentlich an der Atmungskette des menschlichen Stoffwechsels beteiligt. Es reguliert die ausreichende Versorgung der Körperzellen mit Sauerstoff und Energie. In Kombination mit 13 Vitaminen, 25 Mineralstoffen und Spurenelementen, L-Carnitin und sekundären Pflanzenstoffen ist Q10 Teil des individuellen Mikronährstoffverfahrens.
Radiotherapie;(auch „Strahlentherapie“ oder „Bestrahlung“): Behandlungsformen mit ionisierender Strahlung. Dabei handelt es sich um eine technisch erzeugte, hochenergetische Röntgenstrahlung. Auch die Anwendung von elektromagnetischen Wellen anderer Frequenzbereiche, etwa zur Hyperthermie oder von Ultraschallwellen zur Therapie von Tumoren zählen heute im weiteren Sinn zur Radiotherapie. Mit der Radiotherapie werden überwiegend bösartige Erkrankungen (z.B. Prostatakarzinom, Kehlkopf/-Speiseröhrenkrebs, Enddarmkrebs, Brustkrebs), aber auch einige gutartige Erkrankungen (z.B. Fersensporn, Sehnenansatzreizungen, Schleimbeutelentzündungen, Morbus Basedow, Arthrose/Arthritis) behandelt.
Rehabilitation;(kurz „Reha“) Der Begriff kommt vom lateinischen rehabilitare, rehabilitatio = wiederbefähigen und bezeichnet die Bestrebung, einen Menschen z.B. nach einer Operation wieder in seinen vormals vorherrschenden körperlichen Zustand zu versetzen.
Reittherapie;Bei der Reittherapie geht es nicht um das Erlernen von Reiten, sondern um die Gesundung oder Verbesserung der körperlichen oder seelischen Verfassung von Patienten. Ziele sind in erster Linie Lebensfreude im Kontakt mit dem Pferd zu spüren, ein positives Selbstwertgefühl zu haben, Ängste abzubauen und Selbstbewusstsein zu erfahren.
Resveratrol;Pflanzliches Polyphenol, welches nach neuesten Erkenntnissen niederschwellige Entzündungen, die am Beginn von Krebserkrankungen stehen können, unterdrücken soll. Auch das Wachstum von Tumorzellen soll abgeschwächt und die Wirkung von Chemotherapie verstärkt werden. Resveratrol findet sich in einer Anzahl von Pflanzen und pflanzlichen Lebensmitteln, vor allem in Weintrauben, Himbeeren, Maulbeeren, Pflaumen, Erdnüssen und im Japanischen Staudenknöterich.
Risikofaktoren;Es sind viele Faktoren, die an der Entstehung eines Tumors beteiligt sind. Doch das bedeutet nicht, dass man nichts tun kann. Vorbeugen ist möglich und zumindest das Risiko für einige häufige Krebsarten lässt sich senken. Bekannte Krebsrisikofaktoren sind Alkohol, schlechte Ernährung, Rauchen, UV-Strahlung und Viren.
Salizylsäure-Derivat;Entzündungshemmendes Medikament. Wichtigster Bestandteil der Diflunisal-Therapie.
Salutogenese;Wissenschaft von der Entstehung und Erhaltung der Gesundheit
siRNA-Therapie;Eine Art Gentherapie, bei welcher spezielle Mechanismen der Tumorzelle (Wachstum, Blutgefäßanlockung, Lymphgefäßanlockung, ....) gezielt innerhalb der Zelle unterbunden werden können. Zur Erstanwendung dieser Therapie beim Menschen hat Prof. Dr. med. Joachim Drevs eine Studie durchgeführt. Aktuelle Studien zur Anwendung der siRNA-Therapie bei Bauchspeicheldrüsenkrebs laufen derzeit in Herne und Freiburg. Prof. Drevs ist für die Überwachung dieser Studien zuständig.
Salutogenese;Wissenschaft von der Entstehung und Erhaltung der Gesundheit
Staging;Bestimmt Ausdehnung einer Krebserkrankung d.h. ob der Krebs sich ausgebreitet hat und wenn ja, welche Körperregionen betroffen sind.
Supportive Therapie;siehe Palliative Therapie
Systemische Therapie;Systemische Behandlungsmethoden sind Chemotherapie, Hormon- und Immuntherapie. Sie dringen in die Blutbahn ein und zerstören oder bekämpfen den Krebs im ganzen Körper. Eine systemische Therapie  kann im Vorfeld einer Operation oder Bestrahlung durchgeführt werden, um den Tumor zum Schrumpfen zu bringen. Wird sie anschließend an eine Operation oder Bestrahlung durchgeführt, soll sie verhindern, dass der Krebs erneut auftritt. Systemische Behandlungen werden auch bei Krebs durchgeführt, der gestreut (metastasiert) hat.
Therapiesensivitätstest;Verfahren, das die Nebenwirkungen einer Chemotherapie für den Patienten so gering wie möglich hält. Dabei wird die Wirksamkeit von unterschiedlichen Zytostatika, Thyrosinkinaseinhibitoren  und Antiangiogenesefaktoren (Angiogenesefaktoren) oder pflanzlichen Präparaten gegenüber den Tumorzellen getestet. Die jeweiligen Befunde erlauben Vorhersagen über die Wirksamkeit verschiedener antitumoraler Therapien und bilden die Basis einer individualisierten Therapie (integrative Onkologie).
Thrombozyten;Blutplättchen. Sorgen bei Verletzungen für die Gerinnung des Blutes und somit dafür, dass Blutungen zum Stillstand kommen.
Thyrosinkinaseinhibitoren;Arzneistoffe aus der Gruppe der zielgerichteten Therapeutika. Werden zur Therapie bösartiger Tumore eingesetzt. Dabei werden Oberflächeneigenschaften der Tumorzelle als Zielstruktur verwendet.
Tumor;Begriff aus dem Lateinischen mit der Bedeutung „Wucherung, Geschwulst, Schwellung“. Unterscheidung in gutartige Tumore (kein Krebs) und bösartige Tumore/Karzinome (Krebs).
UNIFONTIS;Praxis für integrative Onkologie (integrative Onkologie) unter der Leitung von Prof. Dr. med. Joachim Drevs. Gegründet wurde UNIFONTIS im Jahr 2011, seit 2012 befindet sich die Praxis mit 16 Mitarbeitern im GesundheitsZentrum Tübingen (GZT).
UKT;Universitätsklinikum Tübingen: Das Universitätsklinikum Tübingen wurde im Jahr 1805 gegründet und hat sich seitdem als eines der führenden Zentren der deutschen Hochschulmedizin etabliert. Auf zwei Klinikarealen, in 17 Kliniken und 12 fachübergreifenden Zentren werden jährlich rund 67.000 stationäre und 330.000 ambulante Patienten behandelt.
Vorsorge;Damit Tumore früh diagnostiziert werden können, gibt es Früherkennungsuntersuchungen für Brustkrebs, Darmkrebs, Gebärmutterhalskrebs, Hautkrebs, Kehlkopfkrebs, Prostatakrebs.
Zytostatika:;Medikamente, die das Wachstum bösartiger Geschwülste hemmen oder gänzlich verhindern. Zytostatika werden aufgrund dieser Eigenschaft bei der Tumortherapie eingesetzt (Chemotherapie).
