;
AMT = Auron Misheil Therapy;Modifizierte Kamillenextrakt-Therapie. Dabei wird täglich eine Kombination aus neun pflanzlichen und synthetischen Komponenten mit antitumoraler Wirkung intramuskulär verabreicht. Die genaue Wirkweise ist noch unbekannt, vermutet wird ein immunogener Effekt. Die AMT ist dazu geeignet, die Lebensqualität der Patienten zu verbessern. Im Rahmen von Heilversuchen werden Schmerzreduktion, eine Zunahme von Appetit und Gewicht sowie eine Erhöhung der Leistungsfähigkeit erreicht. In Einzelfällen kann eine antitumorale Wirkung erzielt werden.
Angiogenesefaktoren;Stoffe, die vom Tumor ausgeschüttet werden, um Blutgefäße anzulocken, die ihn dann ernähren. Daraus kann die Sinnhaftigkeit einer antiangiogenen (blutgefäßhemmenden) Therapie abgeleitet werden.
Bildgebende Diagnostik;Oberbegriff, unter dem verschiedene apparative Untersuchungsmethoden zusammengefasst werden. Diese Apparaturen liefern zwei- oder dreidimensionale Bilddaten und werden zur Diagnose von krankheitsbedingten Veränderungen der Strukturen des menschlichen Körpers eingesetzt.
Chemotherapie;Behandlung bösartiger Tumore mit speziellen chemischen Substanzen (Zytostatika). Diese Substanzen hemmen das Wachstum und die Vermehrung der Krebszellen und können bei verschiedensten Krebsarten wie Brust-, Darm- oder Lungenkrebs eingesetzt werden. Besonders sinnvoll ist eine solche Behandlung bei Krebsarten wie Lymphdrüsenkrebs oder Leukämie, bei denen sich die Krebszellen im ganzen Körper ausbreiten. Eine Chemotherapie kann erheblichen Einfluss auf die körperliche Verfassung der Patienten haben und ihre Lebensqualität durch Nebenwirkungen wie Übelkeit oder Haarausfall beeinträchtigen.
CT = Computertomographie;Computergestütztes Verfahren der bildgebenden Diagnostik. Mittels einer Röntgenröhre wird ein Fächerstrahl erzeugt, der durch die Strukturen des untersuchten Körperteils unterschiedlich stark abgeschwächt wird. Durch dieses Vorgehen bietet das CT im Vergleich mit einfachen Röntgenbildern eine höhere Kontrastauflösung. Die aufgenommene Datenmenge wird durch einen Computer zu zwei- oder dreidimensionalen Schnittbildern verarbeitet.
Diflunisal-Therapie;Neuartiger Therapieansatz zur Bekämpfung von Tumoren und Metastasen. Basierend auf der Erkenntnis, dass Krebszellen ein extra-zellulär saures Milieu aufweisen, werden diese gezielt durch pH-sensitive Substanzen (Salizylsäure-Derivat) angegriffen. Bei dieser Therapieform sind die möglichen Nebenwirkungen einer Chemotherapie nicht zu erwarten.
EKG = Elektrokardiogramm;Standarduntersuchung der Kardiologie. Durch die elektrische Stromkurvenaufzeichnung des Herzens lassen sich vorangegangene Herzinfarkte, Herzrhythmusstörungen oder Mangeldurchblutung diagnostizieren.
Endoskopie;Medizinische Untersuchung, mit der ohne großen chirurgischen Eingriff Körperhöhlen untersucht, Krankheiten erkannt und behandelt werden können. Das dabei eingesetzte Endoskop mit Beleuchtungseinrichtung und Kamera wird unter lokaler Betäubung in den Körper des Patienten eingeführt. Endoskopische Eingriffe sind in der Regel mit einer geringeren körperlichen Belastung und kürzeren Regenerationszeiten für den Patienten verbunden.
Funktionsdiagnose;Gehört zu den Eingangsuntersuchungen bei UNIFONTIS. Mit Hilfe von Ultraschall,  EKG und Endoskopie werden im Vorfeld der Erstellung eines individuellen Behandlungsplans (integrative Onkologie) die körpereigene Funktionsfähigkeit und der jeweilige Status der Krankheit bestimmt.
GZT = GesundheitsZentrum Tübingen;Das GesundheitsZentrum Tübingen ist ein im Jahr 2012 eröffneter hochmoderner Gebäudekomplex in der Universitätsstadt Tübingen. Im neungeschossigen Objekt dreht sich alles rund um das Thema Gesundheit. Es beherbergt das Zentrum für ambulante Rehabilitation (ZAR), das Universitätsklinikum Zentrum für Physiotherapie (UZP), eine Abteilung für Sportmedizin und Sportorthopädie sowie für Psychomatische Medizin und Psychotherapie, eine Tagesklinik, ein Gästehaus mit Restaurant und einige Fachgeschäfte. UNIFONTIS ist auf Ebene 9 des GesundheitsZentrums Tübingen angesiedelt.
Hyperthermie;Unter dem Begriff Hyperthermie (griech.: Überwärmung) ist eine Behandlungsmethode zu verstehen, bei der der Körper oder einzelne Körperteile durch den Einsatz von Ultraschall oder elektromagnetischer Wellen bewusst überhitzt werden. Durch diese Hitzetherapie sollen Krebszellen zerstört und Tumore für Chemotherapie oder Strahlentherapie anfälliger gemacht werden.
Integrative Onkologie;Teil der sogenannten ganzheitlichen Medizin. Bei der Behandlung von Krebs- und Tumorerkrankungen kombiniert die integrative Onkologie verschiedene Verfahren der Schulmedizin, der Psychotherapie und der Naturheilkunde. Im Sinne einer individuellen Behandlung der Patienten wird aus einer Vielzahl an Therapieformen ein auf die persönliche Situation des Patienten angepasster Behandlungsplan zusammengestellt.
Jakobsweg;Einer der bekanntesten Pilgerwege der Welt. Seit über 1.000 Jahren wandern Pilger zum Grab des Apostels Jakobus in der spanischen Stadt Santiago de Compostela. Der Jakobsweg verläuft dabei größtenteils über den in der ersten Hälfte des 11. Jahrhunderts entstandenen Camino Francés, die hochmittelalterliche Hauptverkehrsachse Nordspaniens, die von den Pyrenäen bis an den Atlantik führt. Seit 1993 ist dieser Hauptweg Teil des UNESCO-Weltkulturerbes.
Kamillenextrakt-Therapie;siehe AMT
Lektinol;Wirkstoff aus hochaufgereinigten Mistellektinen – dem Anteil der Mistel der eine eigene antitumorale Wirkung in der Petrischale aufweist. Lektinol wird bei der Mistel-Therapie eingesetzt, um andere Methoden der Krebsbehandlung komplementär zu unterstützen und etwaige Nebenwirkungen der Chemo- oder Strahlenbehandlung abzumildern. Die Wirkweise ist eine Immunmodulation.
MainTrac-Verfahren;In Jena entwickeltes Verfahren zur Quantifizierung der im Blut zirkulierenden, epithelialen Tumorzellen. Dies sind Zellen, die bösartige Tumore in die Blutbahn abgeben, die dann wiederum in anderen Organen Metastasen bilden können. Mit dem Main-Trac-Verfahren kann überprüft werden, ob die bei einer Chemotherapie eingesetzten Medikamente (Zytostatika ) auf die im Blut zirkulierenden Tumorzellen wirken. Durch das Absinken der Zahl der Tumorzellen im Blut im Vergleich zum Behandlungsbeginn wird ein Anschlagen der Therapie nachgewiesen. Damit wird eine Erfolgskontrolle der angewandten Therapie bereits während der Behandlung möglich. Mit dem MainTrac-Verfahren kann die Wirkung der während der Chemotherapie eingesetzten Medikamente auf die Tumorzellen bereits vor Therapiebeginn getestet werden. So kann eine individuell auf die Bedürfnisse des jeweiligen Patienten abgestimmte Auswahl des Medikaments gewährleistet werden.
Metastasen;Absiedlung von Krebszellen aus dem Primärtumor, auch Tochtergeschwülste genannt
Mikronährstoffverfahren;Richtet sich an durch Chemotherapie und Strahlentherapie geschwächte Patienten, die an einem Mangel an wichtigen Vitaminen und Spurenelementen leiden. Nach genauer Untersuchung wird für jeden Patienten eine individuelle Kombination von Mikronährstoffen zusammengestellt. Dadurch wird die Widerstandskraft des Körpers gestärkt, wodurch sich Erholungsphasen nach einer Chemotherapie verkürzen können. Die gezielte Gabe von Mikronährstoffen kann nachweisbar die Nebenwirkungen von Chemo- und Strahlentherapie deutlich reduzieren.
Mistel-Therapie;Verfahren der komplementären Krebsmedizin. Kann zur Milderung der Nebenwirkungen bei aggressiven Therapien genutzt und zur Verbesserung des allgemeinen Wohlbefindens sowie zur Steigerung der der Verträglichkeit bei Chemotherapie und Strahlentherapien eingesetzt werden. Dabei kommen ausschließlich Präparate mit einem hohen Anteil an  Lektinol zum Einsatz.
MRT = Magnetresonanztomographie;Verfahren der bildgebenden Diagnostik, das ohne die Anwendung von Röntgenstrahlung eine detaillierte Darstellung der Gewebeschichten im Körperinneren sowie eine Beurteilung krankhafter Veränderungen ermöglicht.
MR/PET;Kombination aus PET und MRT. Durch dieses neuartige Verfahren wird nicht nur die Untersuchungszeit reduziert, sondern auch eine Reduzierung der Strahlung erreicht. Bösartige Tumorherde oder Metastasen können mit dieser Technologie frühzeitig entdeckt, eindeutiger charakterisiert und ihre Lage zu den Organen sicherer zugeordnet werden.
Neural-Therapie;Verfahren aus dem Bereich der Regulationstherapie. Durch die Injektion eines Lokalanästhetikums in Organe, Muskeln oder Nervenfasern lassen sich Störungen des vegetativen Nervensystems positiv beeinflussen.
Onkologie;Wissenschaftszweig der Medizin, der sich mit der Vorsorge, Diagnostik, Therapie und der Nachsorge von Krebserkrankungen befasst.
Oxidativer Stress;(von griech.-lat. Oxygenium für Sauerstoff) bezeichnet die Stoffwechsellage, in der zwischen Oxidantien und Antioxidantien ein ständiges Ungleichgewicht zugunsten der Oxidation besteht. Dem daraus resultierende Mangel an Vitaminen und Spurenelementen kann mit dem von UNIFONTIS angebotenen Mikronährstoffverfahren bekämpft begegnet werden.
Pathogenese;beschreibt die Entstehung einer physischen oder psychischen Erkrankung oder den Verlauf eines krankhaften Prozesses bis hin zur Erkrankung.
PET = Positronen-Emissions-Tomographie;Verfahren der bildgebenden Diagnostik, bei der sich Stoffwechselvorgänge im Körper dreidimensional darstellen lassen.
PET/CT;Kombination aus PET und CT. Durch dieses neuartige Verfahren können selbst kleinste Krebsherde entdeckt werden, da sich die Bildinformationen des PET zum Stoffwechsel und des CT zur Struktur optimal ergänzen. Aufgrund dieser Vorteile spielt das PET/CT eine große Rolle in der modernen Krebsfrüherkennung und Krebsdiagnostik.
Q10;Das körpereigene Co-Enzym weist strukturelle Ähnlichkeiten zu den Vitaminen E und K auf und ist wesentlich an der Atmungskette des menschlichen Stoffwechsels beteiligt. Es reguliert die ausreichende Versorgung der Körperzellen mit Sauerstoff und Energie. In Kombination mit 13 Vitaminen, 25 Mineralstoffen und Spurenelementen, L-Carnitin und sekundären Pflanzenstoffen ist Q10 Teil des individuellen Mikronährstoffverfahrens.
Salizylsäure-Derivat;Entzündungshemmendes Medikament. Wichtigster Bestandteil der Diflunisal-Therapie.
siRNA-Therapie;Eine Art Gentherapie, bei welcher spezielle Mechanismen der Tumorzelle (Wachstum, Blutgefäßanlockung, Lymphgefäßanlockung, ....) gezielt innerhalb der Zelle unterbunden werden können. Zur Erstanwendung dieser Therapie beim Menschen hat Prof. Dr. med. Joachim Drevs eine Studie durchgeführt. Aktuelle Studien zur Anwendung der siRNA-Therapie bei Bauchspeicheldrüsenkrebs laufen derzeit in Herne und Freiburg. Prof. Drevs ist für die Überwachung dieser Studien zuständig.
Salutogenese;Wissenschaft von der Entstehung und Erhaltung der Gesundheit
Therapiesensivitätstest;Verfahren, das die Nebenwirkungen einer Chemotherapie für den Patienten so gering wie möglich hält. Dabei wird die Wirksamkeit von unterschiedlichen Zytostatika, Thyrosinkinaseinhibitoren  und Antiangiogenesefaktoren (Angiogenesefaktoren) oder pflanzlichen Präparaten gegenüber den Tumorzellen getestet. Die jeweiligen Befunde erlauben Vorhersagen über die Wirksamkeit verschiedener antitumoraler Therapien und bilden die Basis einer individualisierten Therapie (integrative Onkologie).
Thyrosinkinaseinhibitoren;Arzneistoffe aus der Gruppe der zielgerichteten Therapeutika. Werden zur Therapie bösartiger Tumore eingesetzt. Dabei werden Oberflächeneigenschaften der Tumorzelle als Zielstruktur verwendet.
UNIFONTIS;Praxis für integrative Onkologie (integrative Onkologie) unter der Leitung von Prof. Dr. med. Joachim Drevs. Gegründet wurde UNIFONTIS im Jahr 2011, seit 2012 befindet sich die Praxis mit 16 Mitarbeitern im GesundheitsZentrum Tübingen (GZT).
UKT ;Universitätsklinikum Tübingen: Das Universitätsklinikum Tübingen wurde im Jahr 1805 gegründet und hat sich seitdem als eines der führenden Zentren der deutschen Hochschulmedizin etabliert. Auf zwei Klinikarealen, in 17 Kliniken und 12 fachübergreifenden Zentren werden jährlich rund 67.000 stationäre und 330.000 ambulante Patienten behandelt.
Zytostatika:;Medikamente, die das Wachstum bösartiger Geschwülste hemmen oder gänzlich verhindern. Zytostatika werden aufgrund dieser Eigenschaft bei der Tumortherapie eingesetzt (Chemotherapie).